iter	MAE_SumError	MAE_SumWeight
359	394470.8462	73993
360	394485.7144	73993
361	394510.4257	73993
362	394510.8535	73993
363	394542.2295	73993
364	394575.301	73993
365	394593.3228	73993
366	394935.0704	73993
367	394909.1047	73993
368	394910.3671	73993
369	394911.5809	73993
370	394933.602	73993
371	394939.6133	73993
372	394959.3161	73993
373	394949.3539	73993
374	394953.6961	73993
375	394954.1325	73993
376	394941.7837	73993
377	394969.9605	73993
378	394965.4486	73993
379	394989.2123	73993
380	394985.5414	73993
381	394983.0986	73993
382	394983.9539	73993
383	394980.3221	73993
384	394931.1342	73993
385	394897.1568	73993
386	394896.4716	73993
387	394892.3528	73993
388	394893.8185	73993
389	394892.3326	73993
390	394893.2063	73993
391	394901.3636	73993
392	394818.9016	73993
393	394801.8789	73993
394	394839.0163	73993
395	394860.5413	73993
396	394890.7367	73993
397	394903.0246	73993
398	394892.6584	73993
399	394906.7392	73993
400	394897.2368	73993
401	394914.6382	73993
402	394919.1033	73993
403	394896.556	73993
404	394896.211	73993
405	394895.6819	73993
406	394916.9681	73993
407	394912.5551	73993
408	394906.7554	73993
409	394882.2164	73993
410	394879.2353	73993
411	394879.1357	73993
412	394886.3883	73993
413	394892.6652	73993
414	394857.4828	73993
415	394872.9842	73993
416	394896.7227	73993
417	394927.2176	73993
418	394954.7331	73993
419	394974.0606	73993
420	394970.4142	73993
421	394979.8126	73993
422	394957.3535	73993
423	394971.72	73993
424	394969.9873	73993
425	395002.9809	73993
426	394996.6167	73993
427	394947.9306	73993
428	394957.9116	73993
429	394898.7933	73993
430	394912.8393	73993
431	394914.5924	73993
432	394907.4651	73993
433	394921.9135	73993
434	394901.1926	73993
435	394866.5942	73993
436	394876.3158	73993
437	394874.3601	73993
438	394874.5445	73993
439	394896.8173	73993
440	394909.24	73993
441	394913.2128	73993
442	394927.198	73993
443	394923.1815	73993
444	394932.08	73993
445	394947.5986	73993
446	394935.5143	73993
447	394930.6097	73993
448	394944.4709	73993
449	394963.0462	73993
450	395000.3389	73993
451	395009.4666	73993
452	395026.7449	73993
453	395036.7866	73993
454	395055.2172	73993
455	395048.6404	73993
456	395058.9435	73993
457	395063.6149	73993
458	395010.7099	73993
459	395013.349	73993
460	395014.9928	73993
461	395017.9256	73993
462	395009.3416	73993
463	395037.7171	73993
464	395046.9366	73993
465	395054.9448	73993
466	395059.6107	73993
467	395061.5903	73993
468	395059.4246	73993
469	395029.8018	73993
470	395041.6091	73993
471	395060.1501	73993
472	395014.9956	73993
473	395048.1211	73993
474	395047.7112	73993
475	395044.0135	73993
476	395033.841	73993
477	395047.6446	73993
478	395079.1239	73993
479	395084.5497	73993
480	395099.5592	73993
481	395100.07	73993
482	395072.2006	73993
483	395073.5597	73993
484	395084.0251	73993
485	395096.1548	73993
486	394835.9955	73993
487	394836.1491	73993
488	395464.5038	73993
489	395464.6509	73993
490	395474.7084	73993
491	395424.0079	73993
492	395435.3411	73993
493	395440.9951	73993
494	395417.0891	73993
495	395384.771	73993
496	395385.5311	73993
497	395395.3877	73993
498	395410.7889	73993
499	395421.6821	73993
500	395392.7851	73993
501	395394.4003	73993
502	395398.7142	73993
503	395422.7168	73993
504	395433.8582	73993
505	395437.1433	73993
506	395247.2168	73993
507	395243.4663	73993
508	395062.4265	73993
509	395076.6176	73993
510	395077.9182	73993
511	395078.9511	73993
512	395081.464	73993
513	395049.0395	73993
514	395064.5882	73993
515	395086.385	73993
516	395096.9506	73993
517	395053.1759	73993
518	395065.9529	73993
519	395077.7308	73993
520	395058.4185	73993
521	395058.2748	73993
522	395066.0202	73993
523	395076.4166	73993
524	395071.1393	73993
525	395072.9156	73993
526	395069.8908	73993
527	395071.3289	73993
528	395066.3884	73993
529	394966.4357	73993
530	394965.8877	73993
531	394983.6201	73993
532	394996.0861	73993
533	395021.0056	73993
534	395035.9171	73993
535	395051.4569	73993
536	395042.1551	73993
537	395020.5398	73993
538	394996.6906	73993
539	394992.9582	73993
540	395030.807	73993
541	395047.4681	73993
542	395029.9085	73993
543	395039.2731	73993
544	395036.0701	73993
545	395059.9309	73993
546	395053.2003	73993
547	395053.2822	73993
548	395065.6048	73993
549	395078.5482	73993
550	395077.2238	73993
551	395081.6508	73993
552	395094.5956	73993
553	395096.0517	73993
554	395076.5204	73993
555	395083.7194	73993
556	395098.7704	73993
557	395118.1793	73993
558	395108.9559	73993
559	395125.1775	73993
560	395131.9081	73993
561	395109.5306	73993
562	395111.8727	73993
563	395098.5424	73993
564	395118.2166	73993
565	395126.4346	73993
566	395132.3336	73993
567	395126.0932	73993
568	395133.7172	73993
569	395146.0739	73993
570	395154.2058	73993
571	395161.8323	73993
572	395167.8453	73993
573	395169.881	73993
574	395194.6226	73993
575	395203.0832	73993
576	395175.3127	73993
577	395174.706	73993
578	395180.8861	73993
579	395197.5779	73993
580	395197.2773	73993
581	395208.7869	73993
582	395236.585	73993
583	395255.7823	73993
584	395261.5906	73993
585	395272.9223	73993
586	395247.2785	73993
587	395258.2104	73993
588	395252.657	73993
589	395256.1837	73993
590	395279.9963	73993
591	395251.762	73993
592	395282.4853	73993
593	395280.2987	73993
594	395283.5422	73993
595	395294.7867	73993
596	395308.7321	73993
597	395325.1988	73993
598	395322.8695	73993
599	395333.3466	73993
600	395355.8284	73993
601	395345.2119	73993
602	396021.9658	73993
603	395984.523	73993
604	395991.9881	73993
605	396004.9128	73993
606	395855.917	73993
607	395840.2157	73993
608	395816.3999	73993
609	395824.216	73993
610	395824.7981	73993
611	395829.7801	73993
612	395838.7956	73993
613	395868.2355	73993
614	395807.6782	73993
615	395807.9223	73993
616	395809.2738	73993
617	395809.696	73993
618	395816.0116	73993
619	395818.1301	73993
620	395796.2004	73993
621	395820.6702	73993
622	395817.2622	73993
623	395830.5377	73993
624	395841.263	73993
625	395857.3137	73993
626	395860.7386	73993
627	395881.4646	73993
628	395843.1729	73993
629	395796.1201	73993
630	395816.9449	73993
631	395822.7335	73993
632	395824.3747	73993
633	395823.6146	73993
634	395824.1459	73993
635	395823.6348	73993
636	395835.1003	73993
637	395827.839	73993
638	395825.3974	73993
639	395822.3279	73993
640	395819.3991	73993
641	395823.7746	73993
642	395811.7705	73993
643	395814.3885	73993
644	395820.7221	73993
645	395824.5801	73993
646	395819.7979	73993
647	395817.5702	73993
648	395821.0483	73993
649	395853.9549	73993
650	395878.566	73993
651	395865.1882	73993
652	395867.709	73993
653	395876.6178	73993
654	395896.4649	73993
655	395916.562	73993
656	395928.9796	73993
657	395927.2748	73993
658	395930.2967	73993
659	395933.7972	73993
660	395922.8369	73993
661	395789.1739	73993
662	395799.0583	73993
663	395774.706	73993
664	395785.0773	73993
665	395797.8614	73993
666	395787.0324	73993
667	395798.7898	73993
668	395810.7064	73993
669	395836.8153	73993
670	395841.4312	73993
671	395762.5039	73993
672	395792.1981	73993
673	395822.5585	73993
674	395828.0109	73993
675	395838.8747	73993
676	395842.7965	73993
677	395854.1744	73993
678	395860.7214	73993
679	395868.3703	73993
680	395867.7687	73993
681	395880.6981	73993
682	395898.762	73993
683	395916.52	73993
684	395920.2445	73993
685	395947.4333	73993
686	395957.9653	73993
687	395994.7444	73993
688	396022.4816	73993
689	396037.1241	73993
690	396036.1696	73993
691	396053.4265	73993
692	396054.6205	73993
693	396084.7785	73993
694	396103.7496	73993
695	396101.203	73993
696	396134.893	73993
697	396165.1606	73993
698	396190.4725	73993
699	396189.5214	73993
700	396192.8146	73993
701	396197.0915	73993
702	396198.5709	73993
703	396215.2676	73993
704	396230.2915	73993
705	396211.4137	73993
706	396207.1854	73993
707	396198.7436	73993
708	396186.0544	73993
709	396196.4579	73993
710	396196.48	73993
711	396197.387	73993
712	396199.0738	73993
713	396192.3115	73993
714	396232.8639	73993
715	396259.5253	73993
716	396278.985	73993
717	396281.7388	73993
718	396288.5854	73993
719	396282.3107	73993
720	396310.9363	73993
721	396302.4086	73993
722	396316.8094	73993
723	396314.1437	73993
724	396329.9538	73993
725	396343.9343	73993
726	396369.3077	73993
727	396349.138	73993
728	396343.7539	73993
729	396310.9893	73993
730	396306.1812	73993
731	396301.597	73993
732	396307.664	73993
733	396309.1383	73993
734	396356.2241	73993
735	396361.1011	73993
736	396404.8136	73993
737	396419.911	73993
738	396433.4405	73993
739	396434.4135	73993
740	396464.6143	73993
741	396438.8203	73993
742	396437.9693	73993
743	396454.0912	73993
744	396476.5278	73993
745	396491.1448	73993
746	397110.0183	73993
747	397138.7442	73993
748	397154.3075	73993
749	397152.2253	73993
750	397150.9188	73993
751	397123.0739	73993
752	397118.4079	73993
753	397123.8057	73993
754	397135.4433	73993
755	397139.7452	73993
756	397148.3467	73993
757	397150.8798	73993
758	397154.248	73993
759	397135.0053	73993
760	397133.9351	73993
761	397119.5985	73993
762	397131.7477	73993
763	397112.5263	73993
764	397114.8425	73993
765	397128.3461	73993
766	397135.1094	73993
767	397124.8215	73993
768	397142.9425	73993
769	397153.9831	73993
770	397142.7996	73993
771	397150.983	73993
772	397169.9589	73993
773	397193.0102	73993
774	397196.1634	73993
775	397125.3602	73993
776	397129.8541	73993
777	397157.2819	73993
778	397156.3295	73993
779	397177.9593	73993
780	397239.6434	73993
781	397247.5176	73993
782	397261.117	73993
783	397271.0855	73993
784	397276.5597	73993
785	397250.8095	73993
786	397253.2435	73993
787	397251.6529	73993
788	397266.0306	73993
789	397268.1999	73993
790	397264.3491	73993
791	397286.0033	73993
792	397292.78	73993
793	397293.1798	73993
794	397296.1922	73993
795	397326.6418	73993
796	397336.5719	73993
797	397361.2808	73993
798	397367.7208	73993
799	397360.8613	73993
800	397376.9492	73993
801	397373.4379	73993
802	397366.5124	73993
803	397342.291	73993
804	397341.827	73993
805	397351.3532	73993
806	397367.4862	73993
807	397368.8015	73993
808	397367.0314	73993
809	397331.6875	73993
810	397356.0439	73993
811	397354.8145	73993
812	397366.3174	73993
813	397379.6339	73993
814	397380.4143	73993
815	397386.6837	73993
816	397393.1948	73993
817	397288.2254	73993
818	397287.1567	73993
819	397297.8697	73993
820	397304.2269	73993
821	397321.5512	73993
822	397328.4084	73993
823	397330.7784	73993
824	397357.4123	73993
825	397346.0814	73993
826	397322.3709	73993
827	397318.3812	73993
828	397325.4067	73993
829	397316.429	73993
830	397319.0823	73993
831	397322.6282	73993
832	397338.6183	73993
833	397344.9074	73993
834	397348.6253	73993
835	397356.8522	73993
836	397335.4802	73993
837	397339.5382	73993
838	397352.9195	73993
839	397370.4289	73993
840	397381.3786	73993
841	397327.0428	73993
842	397317.3873	73993
843	397333.3146	73993
844	397359.9417	73993
845	397362.4402	73993
846	397374.5705	73993
847	397394.7659	73993
848	397404.7494	73993
849	397411.4698	73993
850	397415.8417	73993
851	397418.3923	73993
852	397428.6511	73993
853	397425.4975	73993
854	397418.6368	73993
855	397426.1447	73993
856	397440.1854	73993
857	397442.0779	73993
858	397457.0225	73993
859	397457.7591	73993
860	397457.6363	73993
861	397471.699	73993
862	397467.7994	73993
863	397468.7426	73993
864	397485.0675	73993
865	397464.8486	73993
866	397462.6817	73993
867	397472.8924	73993
868	397493.2203	73993
869	397412.8602	73993
870	397362.3983	73993
871	397382.5148	73993
872	397386.5203	73993
873	397368.9806	73993
874	397410.7452	73993
875	397412.3702	73993
876	397433.5179	73993
877	397438.3517	73993
878	397445.6002	73993
879	397443.1617	73993
880	397447.4659	73993
881	397445.922	73993
882	397453.4232	73993
883	397457.4328	73993
884	397445.4662	73993
885	397460.2039	73993
886	397479.1732	73993
887	397504.2323	73993
888	397520.4446	73993
889	397520.9587	73993
890	397531.5238	73993
891	397570.2455	73993
892	397543.4961	73993
893	397566.9206	73993
894	397567.8395	73993
895	397572.023	73993
896	397564.3843	73993
897	397571.6939	73993
898	397591.0356	73993
899	397565.5903	73993
900	397580.9968	73993
901	397579.406	73993
902	397588.9814	73993
903	397610.625	73993
904	397616.9923	73993
905	397627.6963	73993
906	397624.2374	73993
907	397603.2979	73993
908	397607.6716	73993
909	397630.3481	73993
910	397629.0629	73993
911	397625.5513	73993
912	397637.8386	73993
913	397622.2458	73993
914	397621.3814	73993
915	397633.6998	73993
916	397634.0838	73993
917	397652.9852	73993
918	397671.039	73993
919	397667.0982	73993
920	397684.1344	73993
921	397692.5331	73993
922	397667.8291	73993
923	397675.0889	73993
924	397681.5729	73993
925	397687.0552	73993
926	397699.2061	73993
927	397697.0179	73993
928	397703.2209	73993
929	397698.401	73993
930	397697.7005	73993
931	397697.8925	73993
932	397702.084	73993
933	397704.3687	73993
934	397732.6997	73993
935	397732.0544	73993
936	398337.9105	73993
937	398339.6968	73993
938	398326.5472	73993
939	398345.6772	73993
940	398344.5426	73993
941	398324.9231	73993
942	398320.9945	73993
943	398341.6918	73993
944	398341.3882	73993
945	398343.8521	73993
946	398359.2783	73993
947	398365.7065	73993
948	398375.0396	73993
949	398370.6598	73993
950	398401.7744	73993
951	398400.6506	73993
952	398416.161	73993
953	398434.3373	73993
954	398452.918	73993
955	398460.4127	73993
956	398476.8254	73993
957	398514.628	73993
958	398524.2277	73993
959	398549.6417	73993
960	398551.5282	73993
961	398562.7333	73993
962	398563.6626	73993
963	398562.6969	73993
964	398566.3598	73993
965	398554.0687	73993
966	398554.2143	73993
967	398566.1388	73993
968	398580.1933	73993
969	398595.4715	73993
970	398604.9244	73993
971	398579.3312	73993
972	398578.4602	73993
973	398580.1128	73993
974	398590.2818	73993
975	398612.6585	73993
976	398615.2836	73993
977	398623.5946	73993
978	398655.4743	73993
979	398656.0862	73993
980	398627.7748	73993
981	398604.8233	73993
982	398607.4513	73993
983	398606.2562	73993
984	398624.7093	73993
985	398630.6734	73993
986	398635.7213	73993
987	398653.7091	73993
988	398650.3179	73993
989	398665.2368	73993
990	398678.8025	73993
991	398686.8653	73993
992	398697.0844	73993
993	398697.3883	73993
994	398709.7062	73993
995	398712.8344	73993
996	398718.3287	73993
997	398694.1456	73993
998	398694.7136	73993
999	398686.8238	73993
